1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
4 3.717409611071575e-17 2.849752925169044e-15 3338
4.25 6.174310493467341e-28 1.492957898234868e-26 3722
4.5 4.04088783434112e-28 1.082422728484037e-26 4170
4.75 2.239888235311932e-28 7.006641655032467e-27 4358
5 1.333339834949243e-28 4.652893573655484e-27 5034
5.25 9.503104064745116e-29 3.307134052180163e-27 5714
5.5 6.052856648332431e-29 2.428830104208819e-27 5982
5.75 4.463806648707916e-29 1.800312092165044e-27 6602
6 3.315809403507684e-29 1.332672244821501e-27 7130
6.25 2.123579150377188e-29 9.015466480858152e-28 8034
6.5 1.192628151493549e-29 4.811731699661473e-28 8606
6.75 6.373380184299128e-30 2.734867243355999e-28 9066
7 3.808197656085093e-30 1.713147451752425e-28 9962
7.25 1.942667056920767e-30 9.546217408616043e-29 10550
7.5 7.68665135244698e-31 4.220679751815802e-29 11226
7.75 2.022778720341213e-31 1.294005546752399e-29 12146
8 5.979526060554399e-33 3.77521064696974e-31 12606
8.25 1.679618666691651e-41 1.144898056796895e-39 13802
8.5 1.001928633008835e-41 7.371855817942335e-40 14754
8.75 5.673681546683063e-42 4.400379616462876e-40 15194
9 3.500033931775249e-42 2.787349636249673e-40 16454
9.25 2.305468114012598e-42 1.901461314109206e-40 17154
9.5 1.735842426366886e-42 1.500812897172732e-40 18266
9.75 1.28982042603607e-42 1.149819450487759e-40 18750
10 9.377461648822266e-43 9.033010271685633e-41 20234
10.25 6.131869478833986e-43 5.937992385611025e-41 21450
10.5 3.367912236169766e-43 3.397982126998123e-41 21962
10.75 1.613585874780783e-43 1.678289391611431e-41 23462
11 5.974195132610217e-44 6.230647373723322e-42 24042
11.25 1.90375896862821e-44 2.005781516376591e-42 25946
11.5 5.569054877916958e-45 6.109421837752397e-43 26118
11.75 3.122677757572014e-45 3.34980763319523e-43 27506
12 3.182237207075859e-45 3.451112261253198e-43 29066
12.25 3.283293850029375e-45 3.589351564925501e-43 30450
12.5 3.378058505257581e-45 3.846414324755361e-43 31742
12.75 3.325152894967878e-45 3.933607256684327e-43 32250
13 3.532130754191132e-45 4.330210522740194e-43 34250
13.25 3.538739934840091e-45 4.598192220013864e-43 35454
13.5 3.6667056271187e-45 4.726264216656752e-43 36434
13.75 3.711528803390155e-45 5.015973559989503e-43 37682
14 3.925218882896261e-45 5.258028005017117e-43 39294
14.25 4.103939604000404e-45 5.514990556611852e-43 41426
14.5 4.161767964969781e-45 5.624124758698426e-43 42066
14.75 4.256250811559223e-45 5.892440911487352e-43 43490
15 4.437134840021913e-45 6.187661007008255e-43 45702
15.25 4.488113194025887e-45 6.557176865190334e-43 46634
15.5 4.664515295655161e-45 6.951277588844564e-43 48554
15.75 4.532220786347096e-45 6.953349073376415e-43 48870
16 4.507247025854147e-45 6.9800581990764e-43 50963
16.25 4.216666762142807e-45 6.614359432906549e-43 51576
16.5 3.731440138066006e-45 6.094436053974844e-43 49316
16.75 3.467000870655974e-45 5.814006123611957e-43 49344
17 3.088959775673113e-45 5.419797569778116e-43 47192
17.25 2.979110804352341e-45 5.234192446698572e-43 47576
17.5 2.629156453526584e-45 4.923918303719861e-43 45348
17.75 2.408346869708048e-45 4.604026608342329e-43 44060
18 2.30827266156464e-45 4.471348444330057e-43 43872
18.25 2.077679703523749e-45 4.137058426300467e-43 41756
18.5 1.972472399946574e-45 3.963230838317448e-43 41528
18.75 1.784299971538308e-45 3.645180406509174e-43 39300
19 1.62369172752232e-45 3.453939784317378e-43 38276
19.25 1.496580172689619e-45 3.249767651132179e-43 36900
19.5 1.370845808031338e-45 2.994691684172114e-43 34724
19.75 1.274017269802177e-45 2.818433659350026e-43 33960
20 1.158329839090407e-45 2.670874737994004e-43 32144
20.25 1.079690398560442e-45 2.472026788072948e-43 30704
20.5 9.839305318592056e-46 2.283375030494603e-43 28896
20.75 8.797680056146206e-46 2.106483271076069e-43 26924
21 8.178286496698623e-46 1.934538506476193e-43 25656
21.25 7.307947843636027e-46 1.74363333277081e-43 23228
21.5 6.802224886804807e-46 1.650734794723045e-43 21816
21.75 5.85797072260708e-46 1.4360820881273e-43 19472
22 5.241794683623264e-46 1.327409908313654e-43 17696
22.25 4.588963253891085e-46 1.16067991097636e-43 15588
22.5 3.796878544067274e-46 1.056078154339826e-43 13760
22.75 3.227829893333823e-46 8.584978823452978e-44 11565
23 2.732634631067855e-46 7.668328331263674e-44 10016
23.25 2.300332280682801e-46 6.521921266074553e-44 8652
23.5 2.01686825351565e-46 5.857547988695999e-44 7652
23.75 1.686526177679946e-46 5.158508109190424e-44 6542
24 1.488494708547013e-46 4.270748516373435e-44 5478
24.25 1.303063586501651e-46 3.771507746265146e-44 4886
24.5 1.057986481483981e-46 3.249810640139877e-44 4068
24.75 8.682897792348888e-47 2.654754932434648e-44 3326
25 6.836530510567935e-47 2.145406133388457e-44 2696
25.25 5.92029992177757e-47 1.833500704613346e-44 2304
25.5 5.256681918507245e-47 1.575374340045453e-44 1934
25.75 3.708394558654948e-47 1.132913044241426e-44 1344
26 2.446452898084699e-47 6.941555241119176e-45 848
26.25 2.438000450848817e-47 7.285975036798574e-45 888
26.5 1.570048106579119e-47 5.111301592422938e-45 584
26.75 9.853880363823125e-48 2.763746431110009e-45 344
27 2.210139758418407e-48 8.536454661557936e-46 102
27.25 2.50769463907572e-48 8.826200348219665e-46 104
27.5 8.520147981468148e-49 1.938633905069129e-46 24
27.75 2.871510261570946e-50 3.096071943158052e-47 1

0.25 9.15307692229138e-18 1.247552185744558e-15 18
0.5 1.014875556622961e-16 1.081979869376177e-14 62
0.75 3.649920223207732e-16 2.876774315326199e-14 98
1 1.566237021474718e-15 8.201490946274172e-14 210
1.25 3.376564944992814e-15 9.414672932302174e-14 350
1.5 3.139231222806308e-15 2.845604507290905e-14 450
1.75 1.213621324984684e-15 1.33806938821e-15 602
2 9.376832587300767e-17 1.019695580467305e-15 762
2.25 1.086376886606507e-17 1.068345342065674e-15 1142
2.5 1.314089850095202e-17 1.047479924944148e-15 1250
2.75 1.283304366425824e-17 1.384129069199872e-15 1458
3 1.442361758807503e-17 2.282956824945259e-15 1814
3.25 2.388383581407346e-17 2.464076552150616e-15 2178
3.5 3.064480129261612e-17 3.213275671868686e-15 2498
3.75 3.583153606520396e-17 8.567689896119563e-15 2622
4 7.135696031932442e-18 5.534550960582857e-15 3338
4.25 1.424510299465822e-27 2.937481772186892e-25 3722
4.5 9.249642903135514e-28 2.12883172140957e-25 4170
4.75 4.39840539584421e-28 1.264560432415762e-25 4358
5 2.025352612285151e-28 6.679784422988419e-26 5034
5.25 8.173778285431986e-29 2.70035023958606e-26 5714
5.5 3.497738630975695e-29 9.350657901475487e-27 5982
5.75 2.388515384024847e-29 4.522933224368348e-27 6602
6 1.745254581170111e-29 3.247137880264983e-27 7130
6.25 1.166526704437626e-29 2.204172826079619e-27 8034
6.5 7.255518720780679e-30 1.327451481297915e-27 8606
6.75 4.697837518800957e-30 8.294418347234738e-28 9066
7 3.176598664600741e-30 5.297761845936927e-28 9962
7.25 1.86720271880747e-30 3.137802504469116e-28 10550
7.5 8.755515279320257e-31 1.370531579360748e-28 11226
7.75 1.889918082115201e-31 2.775433921282979e-29 12146
8 4.353329742151751e-33 6.01369850500926e-31 12606
8.25 4.6857400092771e-41 9.136406114623137e-39 13802
8.5 2.540722325060924e-41 5.362273979025647e-39 14754
8.75 1.233033819376998e-41 2.83694697643804e-39 15194
9 5.732455314738849e-42 1.415264064593667e-39 16454
9.25 2.821215642510506e-42 6.530218160592487e-40 17154
