1:binCentralValue 2:valuesAverage 3:multiplicity
10.75 2.190894854227594e-42 23462
11 9.964663753830424e-43 24042
11.25 4.420179754926343e-43 25946
11.5 2.108721731486903e-43 26118
11.75 1.660979772602189e-43 27506
12 1.81356646205643e-43 29066
12.25 1.989474044267199e-43 30450
12.5 2.235704207924825e-43 31742
12.75 2.475222326058207e-43 32250
13 2.794901171477708e-43 34250
13.25 3.04044719826543e-43 35454
13.5 3.53266128003457e-43 36434
13.75 3.868386398013154e-43 37682
14 4.281209627756227e-43 39294
14.25 4.923777510342959e-43 41426
14.5 5.263016210074912e-43 42066
14.75 5.899144816730639e-43 43490
15 6.547157130853173e-43 45702
15.25 7.105918263249642e-43 46634
15.5 7.837481127284264e-43 48554
15.75 8.156948920049943e-43 48870
16 8.701985645266957e-43 50963
16.25 8.993426982322614e-43 51576
16.5 8.786548072045823e-43 49316
16.75 9.09400193665313e-43 49344
17 9.074228352912507e-43 47192
17.25 9.377142512408208e-43 47576
17.5 9.06181122091997e-43 45348
17.75 9.192420127287927e-43 44060
18 9.362411666104277e-43 43872
18.25 9.279619989568611e-43 41756
18.5 9.625014163567671e-43 41528
18.75 9.271974257149362e-43 39300
19 9.370871294076852e-43 38276
19.25 9.431837307350519e-43 36900
19.5 9.24946123998366e-43 34724
19.75 9.308957207815697e-43 33960
20 9.299544915187266e-43 32144
20.25 9.294708063212824e-43 30704
20.5 9.015317361051431e-43 28896
20.75 8.73887814902322e-43 26924
21 8.531711512546488e-43 25656
21.25 8.164059918258828e-43 23228
21.5 7.823219710694668e-43 21816
21.75 7.209354613800041e-43 19472
22 6.922754402566614e-43 17696
22.25 6.092565836440364e-43 15588
22.5 5.449748915693971e-43 13760
22.75 4.721547870994315e-43 11565
23 4.015145720425176e-43 10016
23.25 3.684798542780447e-43 8652
23.5 3.119754771595547e-43 7652
23.75 2.813195055331151e-43 6542
24 2.345145306099594e-43 5478
24.25 2.17278518133468e-43 4886
24.5 1.817439619991975e-43 4068
24.75 1.554262332841359e-43 3326
25 1.252190393543336e-43 2696
25.25 1.091286220590342e-43 2304
25.5 8.549288133653443e-44 1934
25.75 6.459830109001614e-44 1344
26 3.894642794253299e-44 848
26.25 4.749735283588497e-44 888
26.5 3.473283670496911e-44 584
26.75 2.125383389169946e-44 344
27 6.039387822843901e-45 102
27.25 4.614993299776849e-45 104
27.5 9.001524662424628e-46 24
27.75 3.320995882128361e-50 1

0.25 1.587879663505737e-27 18
0.5 2.964722065101903e-27 62
0.75 2.437758298411014e-27 98
1 3.851139613745942e-27 210
1.25 4.920808032408732e-27 350
1.5 3.49262201619749e-27 450
1.75 3.984743996095097e-27 602
2 2.34057256261417e-26 762
2.25 2.080680867858141e-26 1142
2.5 8.688123908571286e-27 1250
2.75 5.222937906845347e-27 1458
3 4.344826666257646e-27 1814
3.25 3.02210850078321e-27 2178
3.5 2.853867214864899e-27 2498
3.75 2.416191613216451e-27 2622
4 2.61844722765745e-27 3338
4.25 2.154973095235343e-27 3722
4.5 1.875839660607138e-27 4170
4.75 1.720003366285413e-27 4358
5 1.631465992310547e-27 5034
5.25 1.184145223741494e-27 5714
5.5 1.02424013597294e-27 5982
5.75 9.225712196736639e-28 6602
6 6.940257284763487e-28 7130
6.25 4.348818679251612e-28 8034
6.5 2.69081289124209e-28 8606
6.75 1.656140846676175e-28 9066
7 9.127038091826097e-29 9962
7.25 3.873622652643482e-29 10550
7.5 1.269116033317408e-29 11226
7.75 2.476535012148777e-30 12146
8 6.469197083909069e-32 12606
8.25 1.727506262128787e-40 13802
8.5 1.041311030390024e-40 14754
8.75 6.851523367928954e-41 15194
9 5.88365485332305e-41 16454
9.25 4.610646478943678e-41 17154
9.5 3.397040744094727e-41 18266
9.75 2.195986355648773e-41 18750
10 1.418229967763649e-41 20234
10.25 8.841129401232506e-42 21450
10.5 4.768455476448128e-42 21962
10.75 2.532329437820152e-42 23462
11 1.135124042755844e-42 24042
11.25 5.057973365579575e-43 25946
11.5 2.364767301804082e-43 26118
11.75 1.874210056592248e-43 27506
12 2.040630742263354e-43 29066
12.25 2.250962606702442e-43 30450
12.5 2.517193800552717e-43 31742
12.75 2.786104345711893e-43 32250
13 3.091099035221504e-43 34250
13.25 3.460900002921716e-43 35454
13.5 3.861336123212161e-43 36434
13.75 4.374536685534515e-43 37682
14 4.770978045056425e-43 39294
14.25 5.491717775926743e-43 41426
14.5 6.0481098981685e-43 42066
14.75 6.613379805224123e-43 43490
15 7.254750944454853e-43 45702
15.25 7.894226517340685e-43 46634
15.5 8.742812265186061e-43 48554
