#t    <|E|>    <|B|>    <|E|^2>    <|B|^2>    rms(|E|)    rms(|B|)
48.790383000002    411867.113214523    118001.51407818    190635346574.034    16389859748.1112    144916.623016026    49653.8258683885
49.1439365000021    192997.34667923    128686.608510178    43469512118.113    19474474249.2603    78876.7157841288    53983.6182504319
49.4974900000022    867549.424135335    55035.9777661161    898738047052.802    3501328561.10834    382225.121800297    21734.0680139708
49.8510435000023    569326.079343326    41546.4364953838    380053627443.835    2091899594.03071    236477.150742714    19125.7211253785
50.2045970000024    347496.695648737    339355.753901642    144295985819.268    133460245001.449    153434.130272494    135269.794467565
50.5581505000025    1372979.34619437    97476.419125614    2198509638010.59    10919769062.2838    559854.760571238    37657.8912942748
50.9117040000026    509016.275399498    223079.76232864    284723224418.824    58318809668.9987    160080.154289178    92489.0766977171
51.2652575000027    410411.420677514    214714.168848541    277148324244.784    53660170255.2582    329713.193582315    86936.7353363255
51.6188110000028    1295715.81339023    162363.557428574    2187400721908.93    30243717299.5559    713106.761179153    62304.0329247968
51.9723645000029    422990.981838249    314707.756511732    292136006251.748    114463746021.281    336473.825928945    124188.461672708
52.325918000003    748248.781260622    137189.502597842    649058321853.49    23421671878.6898    298633.694005689    67828.5504463015
52.6794715000031    408341.663759056    387312.963403228    201577712683.352    170394482238.859    186640.827049811    142769.571753467
53.0330250000032    1020398.44586949    249632.038169913    1181631445958.49    71216719978.5482    374724.508973743    94342.8084046856
53.3865785000033    865319.107821234    233548.62322207    983703641634.095    62195623097.4481    484692.153096745    87468.0723951519
53.7401320000034    1426657.59705344    191503.27587028    2546738252655.94    41838956524.8    715112.82566155    71871.0780199617
54.0936855000036    1315930.7018079    185945.863177374    1928834701342.55    43551468789.4918    444028.252909551    94739.668337572
54.4472390000037    465912.689077541    370859.86227679    252075807155.224    164915570052.634    187086.005119996    165464.596227333
54.8007925000038    654105.508353601    229091.575137442    500861998528.067    63010087745.9431    270199.893540957    102601.841830392
55.1543460000039    1204632.85934681    115798.690026798    1682791547945.94    18417069879.3197    481301.591653173    70765.3394494594
55.507899500004    790133.173718845    195072.232191309    788867103299.85    44586803953.778    405655.853019324    80830.8615670902
55.8614530000041    1183370.82679136    156318.408500962    1685301684394.17    28734680944.8806    533793.190939427    65568.5603670468
56.2150065000042    1403921.02912317    110537.54300746    2307911443415.02    14566794721.385    580445.679974234    48458.7072388324
56.5685600000043    754693.319888235    255422.005659677    697550526303.234    75671087968.2242    357754.83116138    102130.734810889
56.9221135000044    588118.812688293    226956.081915381    410246766574.494    67760781002.1991    253698.696757799    127482.225756448
57.2756670000045    476390.765985462    332471.886249129    284029095001.151    129939262958.945    238916.163297789    139290.013327917
57.6292205000046    820931.416313167    224695.87732062    804672529966.197    59521703690.5802    361585.591079422    95044.5495843758
57.9827740000047    1032630.1668156    189104.277043055    1323628416045.78    42039818310.9505    507250.780805863    79242.6066896711
58.3363275000048    1289516.97081687    166427.799754973    2066128950468.43    32627556174.8469    635039.315667714    70209.284596594
58.6898810000049    1161370.72757014    167042.408024781    1552328474003.28    34594142349.9965    451161.28728701    81798.3879503682
59.043434500005    625123.902478538    276450.613534181    459436719711.324    93705034179.0286    262024.476454639    131453.765467572
59.3969880000051    601323.567391265    374231.978429729    432569696639.725    169187241825.565    266420.089219202    170697.592678209
59.7505415000052    1525755.93740968    132470.063434167    2702106699301.9    21527371025.7407    611698.879156243    63079.7377886793
60.1040950000053    965123.252749968    258601.606513243    1151202609935.06    79445787440.1844    468764.031188808    112120.455533121
60.4576485000054    1636183.32121626    188978.714302057    3283019214894.14    42375100740.9269    778410.787610156    81621.971807034
60.8112020000055    1790064.01609091    136615.742215824    3763640754528.25    23025787819.9491    747871.361147581    66044.8847282552
61.1647555000056    1027559.98810409    310074.457506126    1366687899924.94    112114212501.921    557501.902034845    126364.723337655
61.5183090000057    727334.446568491    302657.676104089    623991552544.94    116980823777.192    308182.01663927    159308.364100773
61.8718625000058    567240.407912077    450478.123112569    401966745623.87    242727385389.332    283204.988048604    199491.468454943
62.2254160000059    850657.158848466    314879.467037375    877599887002.603    119643547535.13    392405.765888395    143158.893448464
62.578969500006    1579348.02381209    218735.118589345    3001867083260.96    56806743148.1878    712409.224351982    94666.2085640534
62.9325230000061    1784387.37389311    178264.017620627    3849532769780.65    37847311363.123    815778.443985561    77905.4002292249
63.2860765000062    1145465.8555523    255438.912085654    1523152392017.82    82435563392.7456    459413.0666205    131097.389696526
63.6396300000063    728114.130845669    370671.747070596    625685594026.298    172961178024.534    309088.02385268    188583.228173043
63.9931835000064    685704.827615343    496913.767997474    572361413235.277    292376867982.462    319640.896351343    213198.440794051
64.3467370000062    1704086.22880466    188186.638978588    3380275281957.66    44570424306.4913    690192.296940476    95688.1038396824
64.7002905000059    1420086.6409821    311325.2349552    2497960962901.58    114451661136.283    693768.617772339    132394.332266802
65.0538440000057    2150355.62477917    189785.542587976    5565824005058.85    42699221619.2049    970461.071882563    81735.362260116
65.4073975000054    1950492.02879557    190298.147600752    4396920737065.68    48460995680.2726    769741.243971387    110668.92382234
65.7609510000052    1375548.62115729    350382.977624062    2421160356053.63    142791068778.981    727341.973823799    141502.076911532
66.1145045000049    854884.662428604    399801.852353572    861340278747.59    208245435412.451    361265.127976562    220008.895881744
