#t    E^kin_cmplxscal0    E^grad_cmplxscal0    E^kin_U10    E^grad_U10    Vpot_term_0    E_tot
113.490673499971    2.06218566178177e-09    9.03948080035399e-10    6.57344840749509e-10    5.26061889667431e-10    1.00052426986523e-11    4.15954571493276e-09
113.844226999971    1.50143759672606e-09    1.13851246916868e-09    8.66889894929984e-10    4.60124282385752e-10    1.37444000122113e-10    4.10440824333259e-09
114.197780499971    8.65672746633459e-10    1.34224442406671e-09    9.94079318179758e-10    4.20371841568104e-10    4.35739198430609e-10    4.05810752887864e-09
114.55133399997    7.52791442141565e-10    1.33074148398669e-09    9.99906401988842e-10    4.22674098821162e-10    5.12448984287127e-10    4.01856241122538e-09
114.90488749997    1.28413277344459e-09    1.15597653792176e-09    8.61244113722726e-10    4.45700598571756e-10    2.29128595188254e-10    3.97618261884908e-09
115.25844099997    1.83483919016721e-09    8.98903249319488e-10    6.72345784647618e-10    4.90189912458741e-10    2.98720662224838e-11    3.92615020281554e-09
115.61199449997    2.06096345073206e-09    7.23624751517248e-10    5.59139229382517e-10    5.2756266587806e-10    4.26843275674902e-13    3.87171694078556e-09
115.965547999969    1.79308901339598e-09    8.77783154822075e-10    6.42248978377148e-10    4.8814496032608e-10    1.67954378115252e-11    3.81806154473281e-09
116.319101499969    1.26458988032395e-09    1.1018833527287e-09    8.07344073845533e-10    4.322198385455e-10    1.63665490530249e-10    3.76970263597393e-09
116.672654999969    7.3804012821824e-10    1.23681762315531e-09    9.22966173690352e-10    4.01130439594347e-10    4.30326821866727e-10    3.72928118652497e-09
117.026208499969    7.59215575859216e-10    1.21048793696619e-09    8.95379954901806e-10    4.02040624874965e-10    4.26523396885932e-10    3.69364748948811e-09
117.379761999968    1.28753103384605e-09    1.01510083039544e-09    7.68817140517772e-10    4.26712055543884e-10    1.55821692590973e-10    3.65398275289412e-09
117.733315499968    1.73436412779633e-09    7.87376714258472e-10    6.0055293240077e-10    4.7125780804846e-10    1.43197877022958e-11    3.60787137020633e-09
118.086868999968    1.85539605586866e-09    6.82275734815555e-10    5.18915103147795e-10    5.01681279212231e-10    4.52895134192084e-13    3.55872106817843e-09
118.440422499968    1.55249774746286e-09    8.46024259671651e-10    6.41656988844595e-10    4.4517192778798e-10    2.57425708642388e-11    3.51109349463133e-09
118.793975999967    1.06227130157393e-09    1.03874180620381e-09    7.76575917573539e-10    4.02886331507025e-10    1.88113355728054e-10    3.46858871258636e-09
119.147529499967    6.51681756509731e-10    1.12039607929404e-09    8.65740025302022e-10    3.81951256635829e-10    4.13292365045682e-10    3.4330614827873e-09
119.501082999967    7.70043489564231e-10    1.08340352106313e-09    8.08479742780648e-10    3.92414961369854e-10    3.46214098695537e-10    3.4005558134734e-09
119.854636499967    1.25678800173841e-09    9.01569137166551e-10    6.84535471739093e-10    4.16595180045264e-10    1.04100437427883e-10    3.3635882281172e-09
120.208189999966    1.61271710595616e-09    7.03921322191542e-10    5.43145592781606e-10    4.54919440020342e-10    6.56008591737901e-12    3.32126354686703e-09
120.561743499966    1.6624957261768e-09    6.4887626763456e-10    4.94772727374117e-10    4.70157425882043e-10    6.80135494818076e-13    3.27698228256234e-09
120.915296999966    1.35895678549176e-09    7.95953877598257e-10    6.27983489994038e-10    4.18029844283264e-10    3.364906888412e-11    3.23457306625144e-09
121.268850499966    9.00496154251684e-10    9.6583336076431e-10    7.46185323114535e-10    3.81319376162017e-10    2.03183480130178e-10    3.19701769442272e-09
121.622403999965    5.82503214523304e-10    1.05078871639486e-09    7.82479090615451e-10    3.66178492963226e-10    3.83641533894424e-10    3.16559104839127e-09
121.975957499965    7.73793548502273e-10    9.80967432800102e-10    7.30316628713014e-10    3.74393923878896e-10    2.76233434307992e-10    3.13570496820228e-09
122.329510999965    1.21572834932376e-09    8.05640594325958e-10    6.16090400586244e-10    3.95012343185657e-10    6.88890611256055e-11    3.10136074854723e-09
122.683064499965    1.50336993769926e-09    6.33571560869165e-10    4.91813788807912e-10    4.31072850153349e-10    2.81854674366562e-12    3.06264668427335e-09
123.036617999964    1.49996551278577e-09    6.16862947340125e-10    4.6643071749383e-10    4.38218101710438e-10    1.19877939641665e-12    3.02267605872658e-09
123.390171499964    1.18550163894232e-09    7.58874872857688e-10    6.10244850675654e-10    3.86737829163138e-10    4.34979864490459e-11    2.98485717808784e-09
123.743724999964    7.70979165562296e-10    9.0366936559386e-10    7.06128253431622e-10    3.58951500744644e-10    2.11928729950577e-10    2.951657015283e-09
124.097278499964    5.3829922341153e-10    9.7953832751619e-10    7.14223710670959e-10    3.47659880661481e-10    3.43928260132753e-10    2.92364940239291e-09
124.450831999963    7.7342267392436e-10    8.87049250903826e-10    6.69068144937539e-10    3.55464462153693e-10    2.10954747225054e-10    2.89595927914447e-09
124.804385499963    1.16504726333994e-09    7.25121713278383e-10    5.52730642820866e-10    3.78641336832758e-10    4.25112741913497e-11    2.8640522304633e-09
125.157938999963    1.39550667609531e-09    5.74715201722523e-10    4.48884919319454e-10    4.08506910572385e-10    1.05681121379223e-12    2.82867051892346e-09
125.511492499963    1.3406004822682e-09    5.98973646072534e-10    4.44189738096128e-10    4.0659209820409e-10    2.27789924072052e-12    2.79263386388168e-09
125.865045999962    1.03404537977453e-09    7.26980770867064e-10    5.80224528210395e-10    3.63106904926741e-10    5.45116949716493e-11    2.75886927875038e-09
126.218599499962    6.55342410250503e-10    8.69246130439034e-10    6.52218860841756e-10    3.35690386396927e-10    2.17022427579388e-10    2.72952021550761e-09
126.572152999962    5.10654644408955e-10    8.94740776382372e-10    6.72972234284929e-10    3.27052556340734e-10    2.98898270445058e-10    2.70431848186205e-09
126.925706499962    7.72630646213782e-10    8.03001870559772e-10    6.12067052337826e-10    3.35862669630457e-10    1.55014927415233e-10    2.67857716615707e-09
127.279259999961    1.11079881780386e-09    6.5207454872932e-10    5.0095385813516e-10    3.60600663123319e-10    2.45387669379504e-11    2.64896665472961e-09
127.632813499961    1.28613431668525e-09    5.3056187217293e-10    4.13127178744117e-10    3.86477728725926e-10    3.2340818921738e-13    2.61662450451744e-09
127.986366999961    1.19175636011108e-09    5.84016174470802e-10    4.28406994287847e-10    3.7583629227695e-10    4.06460290541527e-12    2.5840804240521e-09
128.339920499961    8.93721540444949e-10    7.11206368827347e-10    5.47731675741103e-10    3.34717039251459e-10    6.65832413952787e-11    2.55395986566014e-09
128.69347399996    5.64190962905785e-10    8.26246750983785e-10    6.09768988952752e-10    3.10621074768922e-10    2.17137270944115e-10    2.52796504855536e-09
129.04702749996    4.95562871315117e-10    8.20889107640769e-10    6.30560282513885e-10    3.04049976157279e-10    2.54076247415605e-10    2.50513848504265e-09
129.40058099996    7.71165186091137e-10    7.32928161324262e-10    5.49452963620213e-10    3.17080474268301e-10    1.10501225034201e-10    2.48112801033811e-09
129.75413449996    1.06206487486529e-09    5.88256739296878e-10    4.47649649344659e-10    3.42192442692935e-10    1.34618969767864e-11    2.45362560317655e-09
130.107687999959    1.18430482614263e-09    4.92199375821602e-10    3.82263313966604e-10    3.65161377137055e-10    1.4037687930661e-13    2.4240692699472e-09
130.461241499959    1.0568162263034e-09    5.66508116899053e-10    4.22449918229704e-10    3.41922538016806e-10    7.02942572428866e-12    2.39472622517325e-09
130.814794999959    7.73193850914657e-10    6.87012938653068e-10    5.1992423166887e-10    3.10153554915341e-10    7.75799305912316e-11    2.36786450674317e-09
131.168348499959    4.91464971876002e-10    7.68571682727034e-10    5.8379232091557e-10    2.91330845789993e-10    2.09555919705947e-10    2.34471574101455e-09
131.521901999958    4.95784414717883e-10    7.57524492303491e-10    5.70083950610666e-10    2.91370261303049e-10    2.09125123084585e-10    2.32388824201967e-09
131.875455499958    7.58604082763691e-10    6.62715015379409e-10    4.9837257124228e-10    3.03960333794179e-10    7.7758639822091e-11    2.30141064300165e-09
