1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
16 7.105856532311225e-46 1.150817474511351e-43 50963
16.25 6.816599701665519e-46 1.166181194032396e-43 51576
16.5 6.269200826671133e-46 1.136736622819134e-43 49316
16.75 6.112158535728019e-46 1.140323167070578e-43 49344
17 5.795820271181048e-46 1.114620657272994e-43 47192
17.25 5.755079701109844e-46 1.129537639872013e-43 47576
17.5 5.473753693725991e-46 1.111927557587126e-43 45348
17.75 5.285553858748403e-46 1.08229700636529e-43 44060
18 5.275105757271309e-46 1.094194086935859e-43 43872
18.25 5.053930898554913e-46 1.069286115955449e-43 41756
18.5 4.932953389591948e-46 1.083387836478084e-43 41528
18.75 4.65205170431387e-46 1.032655966596129e-43 39300
19 4.562625075585838e-46 1.01422467258632e-43 38276
19.25 4.356418157655715e-46 9.876513252120519e-44 36900
19.5 4.031871474602782e-46 9.452295979457029e-44 34724
19.75 4.002576985140272e-46 9.382779201013005e-44 33960
20 3.748432065870361e-46 8.970750973614899e-44 32144
20.25 3.601638346426398e-46 8.66890896070089e-44 30704
20.5 3.36306611112513e-46 8.159634732360913e-44 28896
20.75 3.142657305028429e-46 7.762268682472887e-44 26924
21 3.067595325050819e-46 7.365692498960239e-44 25656
21.25 2.743454218138554e-46 6.936330706996677e-44 23228
21.5 2.558732655518157e-46 6.605411439259914e-44 21816
21.75 2.226940128502564e-46 5.844342537392018e-44 19472
22 2.020998335022664e-46 5.356646353406664e-44 17696
22.25 1.82744669338341e-46 4.829269439843016e-44 15588
22.5 1.537159795985249e-46 4.368800421144743e-44 13760
22.75 1.31322836584651e-46 3.799709943797752e-44 11565
23 1.132539534556442e-46 3.154538877001328e-44 10016
23.25 9.654613821156485e-47 2.852667782959116e-44 8652
23.5 8.407172236910216e-47 2.541639012776441e-44 7652
23.75 7.242378088625317e-47 2.160233209887096e-44 6542
24 5.85679298806863e-47 1.779886818687992e-44 5478
24.25 5.361556686451589e-47 1.640050290053614e-44 4886
24.5 4.594346894759228e-47 1.346487637914147e-44 4068
24.75 3.512573722831861e-47 1.128672599728306e-44 3326
25 2.994226579627976e-47 9.067598502416935e-45 2696
25.25 2.425719815471629e-47 7.660280340216782e-45 2304
25.5 2.130619284535233e-47 6.72951399059032e-45 1934
25.75 1.451499771268521e-47 4.774942539968879e-45 1344
26 8.102825950680274e-48 3.018047744451327e-45 848
26.25 1.019678001179204e-47 3.135369450041878e-45 888
26.5 6.132971421834748e-48 2.1800646699257e-45 584
26.75 3.303047034717095e-48 1.156305068303467e-45 344
27 1.031035577566986e-48 3.081255565623396e-46 102
27.25 1.095670028556521e-48 4.391827595602484e-46 104
27.5 2.550635694513146e-49 4.141805582186145e-47 24
27.75 2.046500016677044e-52 4.22208930976855e-49 1

0.25 4.13849684656837e-18 1.554389888742067e-17 18
0.5 2.734028089690512e-17 1.680290227402081e-16 62
0.75 5.831655671894885e-17 5.95544365879649e-16 98
1 1.524694313767511e-16 2.68573163477675e-15 210
1.25 2.169580648408965e-16 7.32290645471329e-15 350
1.5 1.714051892510481e-16 1.235375425076027e-14 450
1.75 8.34802159227026e-17 1.369583173515807e-14 602
2 1.590174738438528e-17 8.695144244655343e-15 762
2.25 1.838918616790037e-17 4.475779893172953e-15 1142
2.5 2.580889497142574e-17 6.75759972424818e-15 1250
2.75 2.327083280015115e-17 8.612415092460449e-15 1458
3 5.160626115911384e-17 6.639590274681303e-15 1814
3.25 6.760732064823015e-17 1.137639106425399e-14 2178
3.5 4.520711305094883e-17 2.288600443615928e-14 2498
3.75 6.256795508980644e-17 2.146648161360772e-14 2622
4 5.94338536500358e-17 8.811189721183214e-15 3338
4.25 2.0411649960959e-28 2.940514304867535e-26 3722
4.5 1.874585653877783e-28 2.555883006555308e-26 4170
4.75 1.40305534366307e-28 1.846957754340733e-26 4358
5 1.204072639974547e-28 1.562510801620137e-26 5034
5.25 9.366299153936161e-29 1.20661364469572e-26 5714
5.5 6.78939438738679e-29 9.700758246218637e-27 5982
5.75 5.21219202413528e-29 7.876541015401165e-27 6602
6 4.257252691380562e-29 6.019097370028411e-27 7130
6.25 3.108287937548346e-29 4.531338225249008e-27 8034
6.5 2.167121877045307e-29 2.843092816212504e-27 8606
6.75 1.289878475363948e-29 1.99240873439874e-27 9066
7 9.069608905848693e-30 1.410884387546233e-27 9962
7.25 5.702053011613298e-30 9.819347600917777e-28 10550
7.5 3.044205810513008e-30 5.288160193561738e-28 11226
7.75 8.66417370038428e-31 1.719206706979959e-28 12146
8 2.445409129968529e-32 5.266385089660798e-30 12606
8.25 1.627043886347048e-41 3.573039613792706e-39 13802
8.5 1.173342496747866e-41 2.488422521578842e-39 14754
8.75 7.686395346627629e-42 1.661752532442723e-39 15194
9 5.357088631597952e-42 1.129520116578505e-39 16454
9.25 3.600302947305395e-42 7.508165601818199e-40 17154
9.5 2.323135376145961e-42 5.071792096490944e-40 18266
9.75 1.504420722418765e-42 3.089023473941141e-40 18750
10 9.273765468432634e-43 1.908359009541993e-40 20234
10.25 5.042266902023261e-43 1.082768182086115e-40 21450
10.5 2.407922730972352e-43 5.419236676946223e-41 21962
10.75 1.139258515839926e-43 2.435465880067831e-41 23462
11 4.192314743399128e-44 9.508639937150616e-42 24042
11.25 1.307042157876953e-44 2.989352765225229e-42 25946
11.5 2.869281500515814e-45 6.164515339964375e-43 26118
11.75 7.088501757957066e-46 1.48815644072494e-43 27506
12 5.531095122830536e-46 1.146307856745419e-43 29066
12.25 5.794755324431872e-46 1.189962992285686e-43 30450
12.5 5.999680554677331e-46 1.243057288688495e-43 31742
12.75 6.264088921222889e-46 1.262403739810599e-43 32250
13 6.505606189726288e-46 1.351323777961885e-43 34250
13.25 6.837779640866186e-46 1.405010108549088e-43 35454
13.5 7.045725776593202e-46 1.449866395980622e-43 36434
13.75 7.227064170017043e-46 1.513916944671137e-43 37682
14 7.542116991072527e-46 1.588974725109708e-43 39294
14.25 7.983038180398879e-46 1.716559307544843e-43 41426
14.5 8.100775548227975e-46 1.721811343522665e-43 42066
14.75 8.597208757628338e-46 1.805445122682379e-43 43490
15 9.189116447415558e-46 1.905255929446899e-43 45702
15.25 9.592179825210144e-46 1.955675990399815e-43 46634
15.5 1.033728257805928e-45 2.042654504999379e-43 48554
15.75 1.012491986786874e-45 2.109002387930135e-43 48870
16 1.034830169870575e-45 2.165629494042606e-43 50963
16.25 9.713671984929348e-46 2.198473117328629e-43 51576
16.5 9.172658601024398e-46 2.065364371431393e-43 49316
16.75 8.947788478100102e-46 2.062744717056687e-43 49344
17 8.611539940524367e-46 1.974372532925813e-43 47192
17.25 8.499576986427785e-46 2.024825190811231e-43 47576
17.5 7.917394962758414e-46 1.926047182705043e-43 45348
17.75 7.732437666507584e-46 1.867455112120994e-43 44060
18 7.506172112468523e-46 1.864808889383295e-43 43872
18.25 7.050456547172969e-46 1.794937994939207e-43 41756
18.5 7.081349210329564e-46 1.758103717803731e-43 41528
18.75 6.543813837029828e-46 1.650126855217775e-43 39300
19 6.404056379778194e-46 1.646827095147356e-43 38276
19.25 6.101508968524215e-46 1.555414766332334e-43 36900
19.5 5.681737142237218e-46 1.467054941875662e-43 34724
19.75 5.56309577656917e-46 1.470594233825915e-43 33960
20 5.165576508915378e-46 1.377710271328292e-43 32144
20.25 4.903995925931935e-46 1.33309101642945e-43 30704
20.5 4.667774285362455e-46 1.262842643224917e-43 28896
20.75 4.227577404638515e-46 1.16667358529997e-43 26924
21 4.057598958073396e-46 1.131755661594378e-43 25656
21.25 3.685690524545882e-46 1.049374440654283e-43 23228
21.5 3.512853205966014e-46 9.863342535620768e-44 21816
21.75 3.027287755982974e-46 8.717415719258521e-44 19472
22 2.796058200174135e-46 8.127346490802253e-44 17696
22.25 2.514059474584534e-46 7.170188803238621e-44 15588
22.5 2.18514739357057e-46 6.464011433370897e-44 13760
22.75 1.810240257046493e-46 5.505952179502314e-44 11565
23 1.649016575332068e-46 4.859321129151572e-44 10016
23.25 1.337299270537462e-46 4.340254453984496e-44 8652
23.5 1.202820075637754e-46 3.892220801265918e-44 7652
23.75 1.034482370582662e-46 3.382761298525467e-44 6542
24 9.131701598336278e-47 2.876002298007503e-44 5478
24.25 7.752234095875095e-47 2.603532584028807e-44 4886
24.5 6.643811586893218e-47 2.190580664919238e-44 4068
24.75 5.713847072749625e-47 1.861095756111035e-44 3326
25 4.58205146766022e-47 1.479942740981404e-44 2696
25.25 3.858920706793508e-47 1.248373985808245e-44 2304
25.5 3.346392299016165e-47 1.116317883266668e-44 1934
25.75 2.23009848643224e-47 7.560437604971756e-45 1344
26 1.45459730604539e-47 5.293581855570451e-45 848
26.25 1.508923884353612e-47 5.289399116466427e-45 888
26.5 1.025585059602777e-47 3.45340759366556e-45 584
26.75 6.447310428248803e-48 1.946924424897182e-45 344
27 1.69287268614968e-48 5.555621813334008e-46 102
27.25 1.663237370480994e-48 6.033595103573912e-46 104
27.5 4.238512083826127e-49 1.443923501942396e-46 24
27.75 3.098234178201202e-50 1.229378889780138e-49 1

0.25 3.525828430883951e-18 1.389996810116909e-16 18
0.5 1.882063410158344e-17 1.180009274739144e-15 62
0.75 2.654095630658881e-17 3.300482757382076e-15 98
1 2.775690498900902e-17 1.141151551476851e-14 210
1.25 5.842450633089722e-18 2.146582769841462e-14 350
1.5 8.873132932399804e-17 2.074125789567656e-14 450
1.75 1.843819613982045e-16 1.051582704621705e-14 602
2 1.031016503886893e-16 1.61164539410069e-15 762
2.25 5.610726362185216e-17 6.351922638557931e-16 1142
2.5 7.482172158233466e-17 4.72678760032287e-16 1250
2.75 5.927170176742525e-17 1.001979298409748e-15 1458
3 1.043637011646293e-16 8.328379431011071e-16 1814
3.25 8.499430466349339e-17 1.791212923855267e-15 2178
3.5 1.976740256635096e-16 1.318004809100672e-15 2498
3.75 1.198617789331926e-16 3.683017555440799e-15 2622
4 3.718951481927578e-17 2.850374580892902e-15 3338
4.25 6.176936022296658e-28 1.493565314346872e-26 3722
4.5 4.042698327967199e-28 1.082845482829187e-26 4170
4.75 2.240634693498532e-28 7.009265455780252e-27 4358
5 1.333746846114985e-28 4.654459960463898e-27 5034
5.25 9.506097495053867e-29 3.308209071042795e-27 5714
5.5 6.054907033211518e-29 2.429733315782073e-27 5982
5.75 4.465280772148508e-29 1.800921849354311e-27 6602
6 3.316984788221732e-29 1.333161378180632e-27 7130
6.25 2.124348848225699e-29 9.018966069010739e-28 8034
6.5 1.193073957776941e-29 4.81374136453693e-28 8606
6.75 6.375998401030523e-30 2.73605797671424e-28 9066
7 3.809827567892086e-30 1.71394483880068e-28 9962
7.25 1.943568106973881e-30 9.55055068539836e-29 10550
7.5 7.689990028303395e-31 4.222742964546593e-29 11226
7.75 2.023644692030048e-31 1.294633898285803e-29 12146
8 5.981789929330539e-33 3.777016282816807e-31 12606
8.25 1.680007399147193e-41 1.145247789031021e-39 13802
8.5 1.001865257656697e-41 7.374148523276107e-40 14754
8.75 5.67454836260857e-42 4.402042458899659e-40 15194
9 3.498124252213068e-42 2.788514127196784e-40 16454
9.25 2.305971102243517e-42 1.900145570300455e-40 17154
9.5 1.736634113592979e-42 1.500851654563675e-40 18266
9.75 1.290659944559965e-42 1.150454166213265e-40 18750
10 9.375118828094513e-43 9.028105949387143e-41 20234
10.25 6.132833378869197e-43 5.930208320005536e-41 21450
10.5 3.369896585653719e-43 3.392125350994899e-41 21962
10.75 1.609037880823194e-43 1.679310590168431e-41 23462
11 5.983615460607247e-44 6.204129998451906e-42 24042
11.25 1.881972298120638e-44 1.990901809442211e-42 25946
11.5 5.406502176639323e-45 5.905707491173845e-43 26118
11.75 2.97946066960092e-45 3.258152892217581e-43 27506
12 3.018772442151677e-45 3.304733456030696e-43 29066
12.25 3.030565831550116e-45 3.485910988340769e-43 30450
12.5 3.138750265968348e-45 3.649643962976031e-43 31742
12.75 3.146131004153626e-45 3.803267548999838e-43 32250
13 3.230025828551489e-45 4.068330730100499e-43 34250
13.25 3.313219411955642e-45 4.296900492003066e-43 35454
13.5 3.40381808440211e-45 4.407379316858289e-43 36434
13.75 3.481595273364139e-45 4.605442044402607e-43 37682
14 3.606178070541794e-45 4.839616194248398e-43 39294
14.25 3.790934419736332e-45 5.150503045687932e-43 41426
14.5 3.808513884488098e-45 5.223578503297384e-43 42066
14.75 3.943848792297751e-45 5.443413965038153e-43 43490
15 4.100534242402749e-45 5.736483217368701e-43 45702
15.25 4.147922877490749e-45 6.148458519190613e-43 46634
15.5 4.301405262415922e-45 6.528699165729002e-43 48554
15.75 4.263216230416779e-45 6.488035536057007e-43 48870
16 4.165991867474972e-45 6.532839052966795e-43 50963
16.25 3.943136663694064e-45 6.120157847571888e-43 51576
16.5 3.442116774832919e-45 5.637400798427279e-43 49316
16.75 3.173508267637343e-45 5.363594441143601e-43 49344
