1:binCentralValue 2:valuesAverage 3:multiplicity
0.25 1.588976401998758e-27 18
0.5 2.966025975703907e-27 62
0.75 2.438837190263439e-27 98
1 3.853281612828929e-27 210
1.25 4.922829986833171e-27 350
1.5 3.493982584806965e-27 450
1.75 3.98507240130258e-27 602
2 2.341281721401528e-26 762
2.25 2.081176089374284e-26 1142
2.5 8.690883459836341e-27 1250
2.75 5.223889947664746e-27 1458
3 4.345673336645817e-27 1814
3.25 3.02245272130685e-27 2178
3.5 2.854047094204124e-27 2498
3.75 2.41634690874812e-27 2622
4 2.618623378434795e-27 3338
4.25 2.155099491205978e-27 3722
4.5 1.875970365925757e-27 4170
4.75 1.720125000647456e-27 4358
5 1.631609564642893e-27 5034
5.25 1.184248681661783e-27 5714
5.5 1.024409590251516e-27 5982
5.75 9.227434885293341e-28 6602
6 6.941450394300827e-28 7130
6.25 4.349467070376751e-28 8034
6.5 2.691200121670356e-28 8606
6.75 1.656326887464485e-28 9066
7 9.127912885568463e-29 9962
7.25 3.873959469743316e-29 10550
7.5 1.269215128435841e-29 11226
7.75 2.476724127290497e-30 12146
8 6.469859545813934e-32 12606
8.25 1.727927869617554e-40 13802
8.5 1.0416023568977e-40 14754
8.75 6.852515678692429e-41 15194
9 5.882690835305511e-41 16454
9.25 4.61000834846536e-41 17154
9.5 3.398066053081523e-41 18266
9.75 2.197678839100489e-41 18750
10 1.417704061971581e-41 20234
10.25 8.840946704695043e-42 21450
10.5 4.768144587082673e-42 21962
10.75 2.528618468182431e-42 23462
11 1.132895649284524e-42 24042
11.25 5.006010603880873e-43 25946
11.5 2.328317312141354e-43 26118
11.75 1.821800360819306e-43 27506
12 1.965338306036338e-43 29066
12.25 2.186857492498192e-43 30450
12.5 2.431767455147084e-43 31742
12.75 2.713052964978048e-43 32250
13 3.03281758306497e-43 34250
13.25 3.419975288457412e-43 35454
13.5 3.782476700889664e-43 36434
13.75 4.257665721879264e-43 37682
14 4.696136767356242e-43 39294
14.25 5.385103482318624e-43 41426
14.5 5.953032012209145e-43 42066
14.75 6.436337111070528e-43 43490
15 7.16777878067871e-43 45702
15.25 7.880612953039634e-43 46634
15.5 8.607275557224433e-43 48554
15.75 8.967362444327696e-43 48870
16 9.676172895200903e-43 50963
16.25 9.937304417591928e-43 51576
16.5 9.716492910047144e-43 49316
16.75 9.935700114818475e-43 49344
17 9.849288372511331e-43 47192
17.25 1.032682881271255e-42 47576
17.5 1.005628407193216e-42 45348
17.75 1.010839066937984e-42 44060
18 1.031449618450048e-42 43872
18.25 1.014534193038057e-42 41756
18.5 1.054659692837195e-42 41528
18.75 1.016599554127146e-42 39300
19 1.033701833565023e-42 38276
19.25 1.049046498646201e-42 36900
19.5 1.013080916806574e-42 34724
19.75 1.029650946801821e-42 33960
20 1.0091635727532e-42 32144
20.25 9.976747614348091e-43 30704
20.5 9.876149610041583e-43 28896
20.75 9.56683871368398e-43 26924
21 9.670765699396556e-43 25656
21.25 9.019389108532144e-43 23228
21.5 8.73373424559711e-43 21816
21.75 7.893766683157279e-43 19472
22 7.476696221141402e-43 17696
22.25 6.96538529937787e-43 15588
22.5 6.006535093917237e-43 13760
22.75 5.045983502898962e-43 11565
23 4.491601309640892e-43 10016
23.25 3.911604537844137e-43 8652
23.5 3.617360449271689e-43 7652
23.75 3.087027706302651e-43 6542
24 2.625746968935585e-43 5478
24.25 2.339857318047516e-43 4886
24.5 2.078492060225733e-43 4068
24.75 1.659907699553733e-43 3326
25 1.359920303238685e-43 2696
25.25 1.165852409261445e-43 2304
25.5 1.001220422900856e-43 1934
25.75 6.423131733582068e-44 1344
26 4.458462197777527e-44 848
26.25 4.841561785150021e-44 888
26.5 3.714902098217004e-44 584
26.75 2.127028172053357e-44 344
27 5.05991922805557e-45 102
27.25 5.466937326055845e-45 104
27.5 8.105966508111858e-46 24
27.75 1.497711977656313e-48 1

0.25 1.486941451263213e-26 18
0.5 4.074645827248127e-27 62
0.75 5.851759360898598e-27 98
1 4.655692003727417e-26 210
1.25 9.947766516471016e-26 350
1.5 7.631811507087482e-26 450
1.75 3.839369809964302e-26 602
2 2.855201749455185e-25 762
2.25 1.59727120127367e-25 1142
2.5 1.515038366108714e-26 1250
2.75 4.933830502484691e-27 1458
3 5.780492021508269e-27 1814
3.25 4.186144975975265e-27 2178
3.5 2.897616965931929e-27 2498
3.75 2.401807652786518e-27 2622
4 2.797925041946131e-27 3338
4.25 2.705834708025159e-27 3722
4.5 2.791464874637757e-27 4170
4.75 2.454642463926452e-27 4358
