1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
2 1.848300930727239e-17 5.84921207460697e-17 762
2.25 2.623277770749903e-17 1.062608033542312e-16 1142
2.5 2.897832833189802e-17 1.425467308065753e-16 1250
2.75 3.701954117903362e-17 1.929639087074091e-16 1458
3 4.409785082361582e-17 2.917369344425242e-16 1814
3.25 5.624148000199032e-17 4.119162589319141e-16 2178
3.5 6.418399447338947e-17 5.224197171974417e-16 2498
3.75 6.925470746833869e-17 6.344896647620687e-16 2622
4 4.147937066548047e-17 4.288383553348224e-16 3191
4.25 3.049770239790117e-26 3.057980211580906e-25 3044
4.5 1.518135137130197e-26 1.878295888305364e-25 2736
4.75 5.029170509523674e-27 6.84141305818765e-26 2276
5 1.818366939042374e-27 1.99767877277797e-26 2016
5.25 4.143778539904329e-28 6.40251508797392e-27 1640
5.5 4.039161243461975e-29 8.42368079398977e-28 1056
5.75 4.752679083603856e-30 1.109700987500301e-28 683
6 1.548304573415853e-30 3.157491554591516e-29 350
6.25 8.787434090762353e-31 1.970046599555984e-29 192
6.5 1.535808886923083e-31 4.980827765925083e-30 44
6.75 4.462406566964909e-32 3.790069237164337e-30 24
7 3.33964487128023e-33 4.480640872468049e-31 1

0.25 1.015358742032437e-20 7.842709628842606e-19 18
0.5 7.08655687338581e-20 2.421826672848587e-18 62
0.75 3.988365159096877e-19 6.286426129926901e-18 98
1 8.074130926520766e-19 1.269289625644172e-17 210
1.25 1.845725277644367e-18 3.387942612489221e-17 350
1.5 1.463281351411917e-17 1.008076222439254e-16 450
1.75 6.991883108130759e-18 3.764459342841021e-17 602
2 8.607554615174287e-18 6.304534568388686e-17 762
2.25 1.28235154426259e-17 1.090190349744215e-16 1142
2.5 1.422020434859383e-17 1.457414729879721e-16 1250
2.75 1.827089122132362e-17 1.974524476546497e-16 1458
3 2.450074030854367e-17 2.651012770167649e-16 1814
3.25 3.224220929734402e-17 3.610480243246868e-16 2178
3.5 3.795480941046466e-17 4.437568920950594e-16 2498
3.75 3.999696756407081e-17 5.56322819849223e-16 2622
4 2.585539122948347e-17 3.472276789083717e-16 3191
4.25 1.208473180603466e-25 1.996545578201064e-24 3044
4.5 5.430774894025537e-26 9.318303797048469e-25 2736
4.75 1.526254341010029e-26 2.312717101167525e-25 2276
5 3.991417365913808e-27 7.518440219507227e-26 2016
5.25 1.014922460081008e-27 2.216242870063478e-26 1640
5.5 8.144751650729178e-29 3.365684557336269e-27 1056
5.75 7.619228049992973e-30 2.129114875852914e-28 683
6 1.216397100357752e-30 2.346098668536403e-29 350
6.25 4.869283481876296e-31 1.936435024451906e-29 192
6.5 1.982975425396609e-31 2.566626249151326e-30 44
6.75 1.208049065568276e-31 1.150695310680134e-30 24
7 1.877614109772391e-32 3.623824524129843e-33 1

0.25 1.929865156763692e-19 1.696444649793694e-20 18
0.5 3.887901348595125e-19 2.303050536606082e-19 62
0.75 1.203437888938661e-18 1.079451671834887e-18 98
1 2.260879813115385e-18 2.624954510184689e-18 210
1.25 3.112699198164826e-18 9.875606945901175e-18 350
1.5 3.277993056356719e-17 4.238306165729299e-17 450
1.75 8.437909283349402e-18 1.773623093606217e-17 602
2 1.003405967567501e-17 2.999027592245843e-17 762
2.25 1.3791603657558e-17 5.640102283940997e-17 1142
2.5 1.492420055629671e-17 7.692867172459688e-17 1250
2.75 1.858858031978068e-17 1.07332632996635e-16 1458
3 2.347121093926339e-17 1.535357340634747e-16 1814
3.25 2.98258580046345e-17 2.16773174776316e-16 2178
3.5 3.487101155013869e-17 2.683055805436182e-16 2498
3.75 3.833443687573837e-17 3.228424055409239e-16 2622
4 2.211950960059182e-17 2.261361470025551e-16 3191
4.25 5.981371815923905e-25 8.466515568875355e-24 3044
4.5 3.603619699405308e-25 4.585633963360164e-24 2736
4.75 1.244555350329115e-25 1.67648830907033e-24 2276
5 4.23619099778702e-26 6.197223020358624e-25 2016
5.25 8.483213630754189e-27 1.945983369442579e-25 1640
5.5 5.790289207348097e-28 1.857099121960757e-26 1056
5.75 2.940970960163618e-29 6.817645327970032e-28 683
6 1.061896787302109e-30 1.775661807482348e-29 350
6.25 5.916501588865143e-31 1.155594472518133e-29 192
6.5 1.856968836733309e-31 1.592840608599262e-30 44
6.75 8.767935943291252e-32 1.185250608542268e-30 24
7 1.184040517253199e-32 2.564140687774899e-31 1

0.25 2.23281479075221e-19 2.887567747002993e-19 18
0.5 6.192295799426706e-19 1.492990020073839e-18 62
0.75 1.454146579514824e-18 4.035806977259608e-18 98
1 1.971084991728412e-18 8.494456537955096e-18 210
1.25 3.558514765217438e-18 1.409245020648704e-17 350
1.5 2.881915081486268e-17 5.054124645403502e-17 450
1.75 5.29098934295509e-18 2.874417698543021e-17 602
2 6.223165549548672e-18 4.466554559242364e-17 762
2.25 8.584559316142667e-18 8.048432984900063e-17 1142
2.5 8.926153671813523e-18 9.4567553503675e-17 1250
2.75 1.119774598654709e-17 1.183816078249119e-16 1458
3 1.441521266678645e-17 1.52620084507908e-16 1814
3.25 1.80685005656701e-17 2.146102719838103e-16 2178
3.5 2.2374849383553e-17 2.50475375715785e-16 2498
3.75 2.485607920026926e-17 2.958026109320137e-16 2622
4 1.576606121189615e-17 1.879555551387632e-16 3191
4.25 2.765926593042813e-24 3.561893954293356e-23 3044
4.5 9.9844362798844e-25 2.148085517844807e-23 2736
4.75 2.291101914390539e-25 9.793102828407654e-24 2276
5 6.609702750227018e-26 4.288491525786651e-24 2016
5.25 2.496774637137552e-26 1.330311843005933e-24 1640
5.5 4.546518088510224e-27 1.263127664872563e-25 1056
5.75 2.596482452175428e-28 2.977723220221149e-27 683
6 9.808071440715614e-31 2.083995779299366e-29 350
6.25 5.541642343773133e-31 9.610759316719077e-30 192
6.5 9.855041314958435e-32 3.3233088217284e-30 44
6.75 2.445291810267924e-32 1.906843350872446e-30 24
7 3.058075266314126e-33 4.505424598572036e-31 1

0.25 5.206305473223498e-19 4.624870201361428e-18 18
0.5 1.488270715137752e-18 1.121430231939348e-17 62
0.75 3.562635310368202e-18 2.106097256263759e-17 98
1 4.263374433362044e-18 3.97538314416845e-17 210
1.25 4.438911323326857e-18 4.027517881050349e-17 350
1.5 4.972592090515923e-17 6.306545172736504e-17 450
1.75 5.843472156966363e-18 5.119121488438013e-17 602
2 1.281951844453484e-17 8.279715785757539e-17 762
2.25 3.068888895657132e-17 1.913004209374652e-16 1142
2.5 3.058799068265021e-17 3.280585306683739e-16 1250
2.75 2.168232241753952e-17 4.509213970998399e-16 1458
3 1.603952858641709e-17 3.308875386710117e-16 1814
3.25 1.854256563084068e-17 1.868740125083808e-16 2178
3.5 2.130299590661765e-17 1.707977709472571e-16 2498
3.75 2.142194223804201e-17 2.194832755420886e-16 2622
4 1.41128564212317e-17 1.353260138071572e-16 3191
4.25 2.167820064361124e-23 4.588453650626382e-22 3044
4.5 1.367297800611657e-23 2.413843687213057e-22 2736
4.75 5.787873363183679e-24 9.612925508508548e-23 2276
5 1.965793660904532e-24 4.174207926354011e-23 2016
5.25 6.075069954664743e-25 1.309766877931472e-23 1640
5.5 5.824906425887104e-26 1.272405917812891e-24 1056
5.75 1.857377489169463e-27 3.008085469670805e-26 683
6 1.514475331470596e-30 2.540831937711051e-29 350
6.25 4.154097964800391e-31 8.503027061999589e-30 192
6.5 6.465153527415547e-32 2.949169343125077e-30 44
6.75 5.369052499108562e-32 1.127598950495876e-30 24
7 2.036339545020771e-32 9.156903500475058e-33 1

0.25 1.760985376282578e-16 3.310869265749549e-16 18
0.5 3.869526506085839e-16 9.078468944464955e-16 62
0.75 6.376137417536397e-16 1.981024463334236e-15 98
1 1.046866818092957e-15 4.386883847523844e-15 210
