1:binCentralValue 2:valuesAverage 3:multiplicity
1.5 3.713717516719783e-26 98
2 2.006368362855954e-25 210
2.5 3.315776930727916e-26 350
3 4.92950527912699e-27 450
3.5 2.635149282084156e-27 602
4 2.059506292588254e-27 762
4.5 2.844057692489707e-27 1142
5 1.443252831198493e-27 1250
5.5 9.051443424691956e-28 1458
6 5.958170097037001e-28 1814
6.5 2.325328857604995e-28 2178
7 7.828601033280677e-29 2498
7.5 1.156541329402876e-29 2622
8 2.890210029547121e-31 3338
8.5 1.669233095659745e-40 3722
9 5.31807063647883e-41 4170
9.5 2.904363966417415e-41 4358
10 1.264102965836072e-41 5034
10.5 4.606049522860841e-42 5714
11 9.25491493758598e-43 5982
11.5 2.204474843359433e-43 6602
12 1.760013342725818e-43 7130
12.5 2.453766717827266e-43 8034
13 2.998828614301825e-43 8606
13.5 3.605501612416855e-43 9066
14 4.41382033148261e-43 9962
14.5 5.267502107553397e-43 10550
15 6.680172902618366e-43 11226
15.5 8.068946248990114e-43 12146
16 8.691142165474889e-43 12303
16.5 9.691322414055168e-43 12584
17 9.953189991985115e-43 12120
17.5 9.734468868680617e-43 11180
18 1.024934369082836e-42 11096
18.5 9.95793185103452e-43 10056
19 1.035754274298002e-42 9716
19.5 9.701002923928332e-43 8604
20 1.005957863008532e-42 8060
20.5 1.004210769507589e-42 7320
21 9.012215795023336e-43 6356
21.5 8.144124368103026e-43 5348
22 7.054873580156119e-43 4308
22.5 6.042806358518977e-43 3563
23 4.468467528010679e-43 2448
23.5 3.509394970432279e-43 1868
24 2.542991146304424e-43 1358
24.5 2.147230653792698e-43 1062
25 1.593768833079146e-43 776
25.5 9.601045779571633e-44 432
26 4.188786514763487e-44 200
26.5 4.024766347663876e-44 168
27 1.388107091883134e-44 56
27.5 1.053747390004811e-45 7

0.5 1.947434826151618e-24 18
1 1.112438439068528e-24 62
1.5 6.658589539838908e-25 98
2 1.943827103425035e-23 210
2.5 3.999189871618722e-24 350
3 7.879612049405374e-26 450
3.5 5.795562063410267e-27 602
4 5.242886280912167e-27 762
4.5 8.317116790037455e-27 1142
5 4.313488381271991e-27 1250
5.5 9.393513207973582e-28 1458
6 6.275607800535113e-28 1814
6.5 2.432329684287795e-28 2178
7 7.606514689491044e-29 2498
7.5 1.162724762659214e-29 2622
8 3.292273397872316e-31 3338
8.5 5.893408123991559e-40 3722
9 6.918520351806277e-41 4170
9.5 3.220359934044045e-41 4358
10 1.390419303521923e-41 5034
10.5 4.726075924828879e-42 5714
11 9.869274934017261e-43 5982
11.5 2.313529090747535e-43 6602
12 1.901267873356296e-43 7130
12.5 2.495428054860468e-43 8034
13 3.157366379289012e-43 8606
13.5 3.782225228943228e-43 9066
14 4.566367524734526e-43 9962
14.5 5.718277362385752e-43 10550
15 6.998515246377892e-43 11226
15.5 8.41163855638403e-43 12146
16 9.220155096197883e-43 12303
16.5 9.929734683270346e-43 12584
17 1.008260066693727e-42 12120
17.5 1.007210662260941e-42 11180
18 1.047558210211155e-42 11096
18.5 1.026133972568146e-42 10056
19 1.061458865998287e-42 9716
19.5 1.026735794744869e-42 8604
20 1.026762610392763e-42 8060
20.5 1.027691431809445e-42 7320
21 9.379298011718307e-43 6356
21.5 8.362674191578886e-43 5348
22 7.231213574479351e-43 4308
22.5 6.215411819816522e-43 3563
23 4.525974379992277e-43 2448
23.5 3.893243899856068e-43 1868
24 2.590592559920019e-43 1358
24.5 2.27012487119934e-43 1062
25 1.76986430830617e-43 776
25.5 9.763378512806767e-44 432
26 4.03178191415029e-44 200
26.5 4.376636060316764e-44 168
27 1.279306710785994e-44 56
27.5 1.366277382081234e-45 7

0.5 1.667890331274415e-23 18
1 3.655595846895801e-24 62
1.5 3.65946316758032e-23 98
2 5.000781513932946e-22 210
2.5 4.598419964657824e-23 350
3 1.424943122487439e-25 450
3.5 1.07460341512385e-26 602
4 1.141922385316101e-26 762
4.5 2.250143373040483e-26 1142
5 1.850040506589157e-26 1250
5.5 9.528875541168477e-28 1458
6 6.27444429551439e-28 1814
6.5 2.328664290566973e-28 2178
7 7.765983388676448e-29 2498
7.5 1.117022729416136e-29 2622
8 3.703895920056865e-31 3338
8.5 3.433583219293187e-39 3722
9 1.685899179270618e-40 4170
9.5 3.437013832011371e-41 4358
10 1.438571970365576e-41 5034
10.5 4.80186361282787e-42 5714
11 1.035614157617953e-42 5982
11.5 2.352414352279729e-43 6602
12 1.928398461917369e-43 7130
12.5 2.579785965935792e-43 8034
13 3.273552552939537e-43 8606
13.5 3.930133964009013e-43 9066
14 4.938533489951082e-43 9962
14.5 5.820924363316192e-43 10550
15 7.087505962357377e-43 11226
15.5 8.673973635273707e-43 12146
16 9.788084293802099e-43 12303
16.5 1.028125179667046e-42 12584
17 1.110630736102401e-42 12120
17.5 1.069292077036848e-42 11180
18 1.146501538168208e-42 11096
18.5 1.098761304507283e-42 10056
19 1.133632714989245e-42 9716
19.5 1.090410720083041e-42 8604
20 1.127775555052011e-42 8060
20.5 1.120741537888009e-42 7320
21 1.006430802530843e-42 6356
21.5 9.051593524128446e-43 5348
22 7.758249138814336e-43 4308
22.5 6.902674662443433e-43 3563
23 4.839405505860786e-43 2448
23.5 3.988640002645272e-43 1868
24 2.818892593916122e-43 1358
24.5 2.316197743882708e-43 1062
25 1.822335203510956e-43 776
25.5 9.99006472908226e-44 432
26 4.469579043511991e-44 200
26.5 4.390612541405779e-44 168
27 1.292086716678815e-44 56
