#t    <|E|>    <|B|>    <|E|^2>    <|B|^2>    rms(|E|)    rms(|B|)
20.5061029999995    106.391798447799    4.17362976833138e-05    13273.8800304051    2.14394931222523e-09    44.2115963684658    2.00507049231455e-05
20.8596564999994    106.118314117202    6.38396026617603e-05    13189.1853563005    4.87753074443314e-09    43.910007574849    2.83202379301749e-05
21.2132099999994    142.7156373616    4.90008544795843e-05    23860.5474956937    2.86855071404248e-09    59.0998675816275    2.16209845824163e-05
21.5667634999993    145.599575840952    3.57645559173454e-05    24840.5371114456    1.52387705448772e-09    60.3431903894745    1.56452419132079e-05
21.9203169999992    37.1116489513501    9.30167689522258e-05    1621.93677616324    1.03077680863361e-08    15.6416843170738    4.06896642898945e-05
22.2738704999991    69.9617336045904    9.71844429346346e-05    5733.70849420769    1.11986662413387e-08    28.9666070717303    4.18789958430647e-05
22.6274239999991    25.5146355179993    0.000211815750862839    762.492349962017    5.3411621826915e-08    10.5591535809299    9.24430068384112e-05
22.980977499999    45.3003285115974    0.000148483386402375    2405.87935558339    2.62490395696431e-08    18.8084978752887    6.48207029592107e-05
23.3345309999989    213.355503887685    8.20357344090281e-05    53327.5946150205    7.94745275384983e-09    88.3573628842131    3.48939971029579e-05
23.6880844999988    218.104461388621    7.15111965459623e-05    55725.6302096972    6.00717960059146e-09    90.3109856666206    2.98885993174019e-05
24.0416379999988    157.401407752671    7.71650574569502e-05    29066.3036139253    7.09899187913959e-09    65.5064916737458    3.38311363510771e-05
24.3951914999987    110.666081779277    9.25495836382614e-05    14365.8847355499    1.02254547893255e-08    46.0315443926468    4.07434578516599e-05
24.7487449999986    97.8344053050843    0.00032181867675943    11209.2150984759    1.23086602554107e-07    40.4678173006203    0.000139711638179919
25.1022984999985    198.254710431491    0.000146106853923384    46084.873964641    2.55105945084426e-08    82.340413870509    6.4524272526341e-05
25.4558519999985    268.141139775954    0.000180114138335348    84201.954195296    3.86331159091695e-08    110.9156587455    7.86893454089227e-05
25.8094054999984    330.922512725485    0.000108007574897945    128285.662170409    1.38304793149289e-08    137.02537262077    4.65278742217357e-05
26.1629589999983    309.392013926344    6.73538158691027e-05    112166.51136892    5.38014470444814e-09    128.230624608636    2.90449340216008e-05
26.5165124999982    101.767519468596    0.000308712900435658    12136.838479016    1.13623773882436e-07    42.192540338607    0.000135351834073426
26.8700659999982    148.036107628307    0.000281785141976246    25664.6237259028    9.37732774200513e-08    61.236709285879    0.000119876649859253
27.2236194999981    72.9677623042686    0.000746783952366999    6228.36615821987    6.64763267861608e-07    30.0677871238911    0.00032722621586409
27.577172999998    164.178451204677    0.000513258220969461    31534.5813154688    3.13735167179401e-07    67.6758263747277    0.000224279213897912
27.9307264999979    471.321989886859    0.000163440568255973    260247.684863785    3.14941007707829e-08    195.200580718596    6.91468106202133e-05
28.2842799999979    475.763278800087    0.000127918883947677    265185.893713745    1.92094769966213e-08    197.066476751212    5.33501277055842e-05
28.6378334999978    275.239574393555    0.000327150159869618    88958.6113627255    1.2841770736744e-07    114.899034157733    0.000146254846978564
28.9913869999977    221.747336044256    0.000322308662592307    57713.2503161941    1.24544174896417e-07    92.4195286369169    0.000143740394163839
29.3449404999977    202.689971114793    0.00106488919653398    48105.4881190881    1.34897046726795e-06    83.7989482545729    0.000463660939020274
29.6984939999976    359.001982414973    0.000630569835929556    151119.100712314    4.76503497657356e-07    149.119674538384    0.000280865055984414
30.0520474999975    611.2632698365    0.000445531740583586    437654.025149792    2.35438956871679e-07    253.004427033563    0.000192198920403416
30.4056009999974    691.840883478772    0.000174703419257055    560900.210521097    3.66467822420101e-08    286.80376996896    7.82655578265667e-05
30.7591544999974    611.362616864802    0.00021475667896461    438191.426247983    5.47694779792765e-08    253.825091250263    9.30002517166912e-05
31.1127079999973    270.966012629057    0.0010225702392498    85946.1536466868    1.24759942036784e-06    111.908773769516    0.000449387946176188
31.4662614999972    312.323354347045    0.000835793198839647    114254.821401876    8.24019788733371e-07    129.263079536602    0.00035421676626998
31.8198149999971    185.494726426721    0.00263366242312777    40267.7474211808    8.26205842236976e-06    76.5470697614014    0.00115146891550511
32.1733684999971    469.578430950588    0.00172031261205855    258079.165500474    3.51752100850122e-06    193.843397324896    0.000747024447587565
32.5269219999972    955.523834065009    0.00027923730989833    1070165.02304214    9.36566501291373e-08    396.407903018907    0.000125232483365464
32.8804754999974    952.171306326647    0.000299994177592905    1062877.04786005    1.07156262297175e-07    395.280724635359    0.000130995250706014
33.2340289999975    440.027324217831    0.00138410849000708    227853.466364187    2.29406104368238e-06    185.011946386937    0.000615064819000972
33.5875824999976    437.09042448034    0.00127354371422972    224490.453447412    1.94463500604812e-06    182.872672302364    0.000568085745283313
33.9411359999977    417.98559166502    0.00356703200134106    204603.400105042    1.50865260468224e-05    172.891426234746    0.00153714304741985
34.2946894999978    632.231829671862    0.0027026974571502    468920.128982628    8.72446850820728e-06    263.064711682122    0.00119159345555484
34.6482429999979    1300.649145395    0.000891194167477696    1982448.31192599    9.35856472842164e-07    539.221765611559    0.000376336855351558
35.001796499998    1324.22322602894    0.000757970392439812    2056609.34476247    6.8390682502731e-07    550.492681520812    0.000330738127847316
35.3553499999981    1122.76136184089    0.00132617144478293    1479543.13493951    2.10334089855138e-06    467.920996853839    0.000587035090598282
35.7089034999982    689.948711306002    0.00332066589592687    556976.463876396    1.30951363803492e-05    284.512283818439    0.00143816354702009
36.0624569999983    659.479485959966    0.00250342845249701    509607.005232182    7.36270389994585e-06    273.301688304629    0.00104668518818903
36.4160104999984    441.776076789585    0.00929677110651869    228495.137860067    0.000102783244722433    182.56241627583    0.00404392033989696
36.7695639999985    1191.49512540115    0.00557717967517427    1662404.89275088    3.69082837320298e-05    492.690835003229    0.00240901444637694
