1:binCentralValue 2:valuesAverage 3:multiplicity
3 4.266710448465744e-27 1814
3.25 2.919681692445646e-27 2178
3.5 3.077170353500792e-27 2498
3.75 2.430514875522833e-27 2622
4 2.660655583248279e-27 3338
4.25 2.202257432492329e-27 3722
4.5 1.987181392252539e-27 4170
4.75 1.648437343774467e-27 4358
5 1.703714856754323e-27 5034
5.25 1.230818807261697e-27 5714
5.5 1.00790058623713e-27 5982
5.75 9.107778534644927e-28 6602
6 7.126059666841418e-28 7130
6.25 5.048374668700341e-28 8034
6.5 2.988974479267448e-28 8606
6.75 1.764939667515313e-28 9066
7 1.041913402171072e-28 9962
7.25 5.322330852490134e-29 10550
7.5 2.267638109730366e-29 11226
7.75 6.506326910416821e-30 12146
8 2.344021301107742e-31 12606
8.25 2.564447251709309e-40 13802
8.5 1.747396222859016e-40 14754
8.75 1.130226448938216e-40 15194
9 8.184757868703289e-41 16454
9.25 6.29123298857305e-41 17154
9.5 5.286199844832211e-41 18266
9.75 4.22238298652378e-41 18750
10 3.355143669366042e-41 20234
10.25 2.473514957335698e-41 21450
10.5 1.656198376391781e-41 21962
10.75 1.06589051124033e-41 23462
11 5.785973804534757e-42 24042
11.25 2.597704677291459e-42 25946
11.5 9.394248516133896e-43 26118
11.75 5.361466869803051e-43 27506
12 5.267865737016026e-43 28631
12.25 5.506314340556255e-43 28596
12.5 5.547096215457459e-43 27848
12.75 5.46331191313602e-43 26544
13 5.801387501452993e-43 26456
13.25 5.681270697827355e-43 25284
13.5 5.705886211081595e-43 24260
13.75 5.672771527193441e-43 23312
14 5.870192765118634e-43 22368
14.25 5.874528218480735e-43 21872
14.5 5.86918648938713e-43 20400
14.75 5.652935732862632e-43 19040
15 5.689110549036514e-43 18252
15.25 5.442229583876808e-43 16760
15.5 5.439925820041451e-43 15776
15.75 4.966614463498179e-43 13704
16 4.948532207975816e-43 13112
16.25 4.685706091701261e-43 11652
16.5 4.083826384449701e-43 9776
16.75 3.621035837702936e-43 8448
17 2.984163495765118e-43 7013
17.25 2.496020811117452e-43 5546
17.5 2.14017116862446e-43 4722
17.75 1.824358583690097e-43 3782
18 1.527571353907842e-43 3174
18.25 1.226666111472454e-43 2582
18.5 9.738085810859752e-44 1928
18.75 8.215479805711211e-44 1662
19 6.302660639909909e-44 1256
19.25 4.235547942131194e-44 864
